display_order,benchmark_window_key,benchmark_window_label,benchmark_window_start_date,benchmark_window_end_date,opportunity_input_path,baseline_model_key,scope_route_name,scope_hub_key,scope_internal_transfer_evidence_tier,window_day_count,specialist_scope_row_count,specialist_scope_actual_opportunity_deliverable_mwh_sum,specialist_scope_nonzero_actual_row_count,specialist_scope_positive_route_price_row_count,specialist_scope_positive_deliverable_proxy_row_count,baseline_specialist_t_plus_1h_deliverable_abs_error_mwh_sum,informative_window_flag,informative_signal_basis,source_lineage
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,R2_netback_GB_NL_DE_PL,britned,reviewed_internal_constraint_boundary,7,767,1449.970420634155,14,66,29,3824.6860562003367,True,reviewed_actual_deliverable_mwh_sum,fact_curtailment_opportunity_hourly|fact_backtest_prediction_hourly
2,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14,2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,opportunity_potential_ratio_v2,R2_netback_GB_NL_DE_PL,britned,reviewed_internal_constraint_boundary,3,360,0.0,0,15,7,0.0,False,reviewed_perfect_zero_window,fact_curtailment_opportunity_hourly|fact_backtest_prediction_hourly
3,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,2024-11-15,2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,opportunity_potential_ratio_v2,R2_netback_GB_NL_DE_PL,britned,reviewed_internal_constraint_boundary,3,360,0.0,0,0,0,0.0,False,reviewed_perfect_zero_window,fact_curtailment_opportunity_hourly|fact_backtest_prediction_hourly
4,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-22,2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,opportunity_potential_ratio_v2,R2_netback_GB_NL_DE_PL,britned,reviewed_internal_constraint_boundary,3,360,0.0,0,0,0,85.31007083993094,True,reviewed_baseline_abs_error_mwh_sum,fact_curtailment_opportunity_hourly|fact_backtest_prediction_hourly
5,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-07,2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,opportunity_potential_ratio_v2,R2_netback_GB_NL_DE_PL,britned,reviewed_internal_constraint_boundary,3,360,353.3111158133364,5,65,43,11.75732864156572,True,reviewed_actual_deliverable_mwh_sum,fact_curtailment_opportunity_hourly|fact_backtest_prediction_hourly
6,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24,2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,opportunity_potential_ratio_v2,R2_netback_GB_NL_DE_PL,britned,reviewed_internal_constraint_boundary,3,360,0.0,0,55,27,0.0,False,reviewed_perfect_zero_window,fact_curtailment_opportunity_hourly|fact_backtest_prediction_hourly
