settlement_date,bmu_family_key,bmu_family_label,cluster_key,cluster_label,parent_region,mapping_status,distinct_bmu_count,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_minus_lost_energy_gap_mwh,share_of_day_dispatch_gap,share_of_day_remaining_qa_shortfall,primary_dispatch_block_reason
2024-10-05,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,45,41,16.116666666666667,2295.833333333333,988.5,3284.333333333333,3300.45,1242.784,2057.6659999999997,0.7251728086305577,0.23945936263911569,physical_below_generation
2024-10-05,KLGLW,Kildrummy,,,,unmapped,1,5,5,1.8666666666666667,532.6333333333333,0.0,532.6333333333333,534.5,188.392,346.108,0.12197708979470191,0.040278063147419975,
2024-10-05,DRSLW,DRSLW,,,,unmapped,1,8,7,2.666666666666667,170.13333333333333,0.0,170.13333333333333,172.8,84.328,88.47200000000001,0.031179738949451814,0.010295863726867163,physical_below_generation
2024-10-05,WISTW,WISTW,,,,unmapped,1,8,8,11.2,219.3,0.0,219.3,230.5,158.99099999999999,71.50900000000001,0.025201554757848247,0.008321807116879285,
2024-10-05,DOREW,DOREW,,,,unmapped,2,9,9,3.3666666666666667,181.63333333333333,0.0,181.63333333333333,185.0,140.306,44.69399999999999,0.01575128009547426,0.00520123127552899,
2024-10-05,BTUIW,Beinn Tharsuinn,,,,unmapped,1,4,4,1.5666666666666667,92.43333333333334,0.0,92.43333333333334,94.0,50.617000000000004,43.382999999999996,0.015289251004205485,0.005048664617762434,
2024-10-05,WDRGW,WDRGW,,,,unmapped,1,5,5,3.583333333333333,102.41666666666667,0.0,102.41666666666667,106.0,64.06,41.94,0.014780701821367313,0.004880736557383226,
2024-10-05,TWSHW,TWSHW,,,,unmapped,1,8,8,3.866666666666667,136.13333333333333,0.0,136.13333333333333,140.0,100.529,39.471000000000004,0.013910564654057923,0.004593408503969321,
2024-10-05,GNAPW,GNAPW,,,,unmapped,1,9,9,1.1333333333333333,74.86666666666667,0.0,74.86666666666667,76.0,41.70700000000001,34.29299999999999,0.012085708334767504,0.003990822574209417,
2024-10-05,HRHLW,HRHLW,,,,unmapped,1,8,7,1.4,77.76666666666667,0.0,77.76666666666667,79.16666666666666,56.623000000000005,22.543666666666653,0.00794495028517638,0.002623502576000515,physical_below_generation
2024-10-05,SANQW,SANQW,,,,unmapped,1,6,5,2.7,67.5,0.0,67.5,70.2,55.519999999999996,14.680000000000007,0.005173598062414694,0.001708374169346347,physical_below_generation
2024-10-05,CGTHW,CGTHW,,,,unmapped,1,3,3,0.26666666666666666,28.233333333333334,0.0,28.233333333333334,28.5,15.45,13.05,0.004599145416519872,0.001518684121932549,
2024-10-05,HALSW,HALSW,,,,unmapped,1,8,7,0.3833333333333333,39.33333333333333,0.0,39.33333333333333,39.71666666666667,28.256999999999998,11.45966666666667,0.004038672293091615,0.0013336102535866953,physical_below_generation
2024-10-05,KYPEW,Kype Muir,,,,unmapped,1,1,1,2.466666666666667,16.03333333333333,0.0,16.03333333333333,18.5,14.356,4.144,0.0014604489353301417,0.00048225494262746994,
2024-10-05,SAKNW,SAKNW,,,,unmapped,1,5,3,0.6333333333333333,44.25,0.0,44.25,44.88333333333333,42.976,1.9073333333333338,0.0006721918281820361,0.00022196450946866022,physical_below_generation
2024-10-05,WHIHW,WHIHW,,,,unmapped,1,5,3,1.7333333333333334,38.0,0.0,38.0,39.733333333333334,38.135,1.5983333333333363,0.0005632925229173136,0.00018600486244359094,physical_inconsistent
2024-10-05,GORDW,GORDW,,,,unmapped,1,6,4,0.3333333333333333,9.483333333333333,0.0,9.483333333333333,9.816666666666666,9.499333333333333,0.3173333333333339,0.00011183617973248854,3.692943254354506e-05,physical_below_generation
2024-10-05,BDCHW,BDCHW,,,,unmapped,1,3,3,0.08333333333333333,8.416666666666666,0.0,8.416666666666666,8.5,8.275,0.22499999999999964,7.929561062965285e-05,2.618420899883701e-05,
2024-10-05,BRYBW,BRYBW,,,,unmapped,1,3,2,0.03333333333333333,6.25,0.0,6.25,6.283333333333333,6.260999999999999,0.022333333333333982,7.870823573610226e-06,2.5990251895142716e-06,physical_below_generation
2024-10-05,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,40,40,34.28333333333334,841.6333333333333,0.0,841.6333333333333,875.9166666666666,1291.1829412679426,-415.266274601276,0.0,0.0,
2024-10-05,VKNGW,Viking,shetland_wind,Shetland Wind,Scotland,mapped,4,24,24,1.6666666666666665,65.69999999999999,0.0,65.69999999999999,67.36666666666666,80.47640000000001,-13.109733333333352,0.0,0.0,
2024-10-05,BABAW,BABAW,,,,unmapped,1,4,4,0.1,16.15,0.0,16.15,16.25,16.773,-0.5229999999999997,0.0,0.0,
2024-10-05,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,2,2,13.200000000000001,0.0,0.0,0.0,13.200000000000001,53.53599999999999,-40.335999999999984,0.0,0.0,
