settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_down_increment_mwh_lower_bound,family_day_dispatch_down_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-05,T_WHIHW-1,WHIHW-1,,,,unmapped,5,3,2,1.7333333333333334,38.0,0.0,38.0,38.0,1.7333333333333334,0.0,0.0,0.0,1.7333333333333334,38.135,partially_blocked,physical_inconsistent
2024-10-05,T_DRSLW-1,DRSLW-1,,,,unmapped,8,7,1,2.666666666666667,170.13333333333333,0.0,170.13333333333333,171.5,1.3,0.0,0.0,1.3,0.0,84.328,partially_blocked,physical_below_generation
2024-10-05,T_SANQW-1,SANQW-1,,,,unmapped,6,5,1,2.7,67.5,0.0,67.5,69.0,1.2000000000000002,0.0,0.0,1.2000000000000002,0.0,55.519999999999996,partially_blocked,physical_below_generation
2024-10-05,E_HRHLW-1,HRHLW-1,,,,unmapped,8,7,1,1.4,77.76666666666667,0.0,77.76666666666667,78.5,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,56.623000000000005,partially_blocked,physical_below_generation
2024-10-05,T_SAKNW-1,SAKNW-1,,,,unmapped,5,3,2,0.6333333333333333,44.25,0.0,44.25,44.25,0.6333333333333333,0.0,0.0,0.6333333333333333,0.0,42.976,partially_blocked,physical_below_generation
2024-10-05,T_GORDW-2,GORDW-2,,,,unmapped,6,4,2,0.3333333333333333,9.483333333333333,0.0,9.483333333333333,9.483333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,9.499333333333333,partially_blocked,physical_below_generation
2024-10-05,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,15,13,2,6.0,681.7666666666667,302.5,984.2666666666667,990.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,473.50600000000003,partially_blocked,physical_below_generation
2024-10-05,T_HALSW-1,HALSW-1,,,,unmapped,8,7,1,0.3833333333333333,39.33333333333333,0.0,39.33333333333333,39.5,0.21666666666666667,0.0,0.0,0.21666666666666667,0.0,28.256999999999998,partially_blocked,physical_below_generation
2024-10-05,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,19,18,1,8.033333333333333,980.6333333333332,542.0,1522.6333333333332,1530.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,659.5479999999999,partially_blocked,physical_below_generation
2024-10-05,E_BRYBW-1,BRYBW-1,,,,unmapped,3,2,1,0.03333333333333333,6.25,0.0,6.25,6.25,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,6.260999999999999,partially_blocked,physical_below_generation
2024-10-05,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,11,10,1,2.083333333333333,633.4333333333333,144.0,777.4333333333333,779.5,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,109.72999999999999,partially_blocked,physical_below_generation
2024-10-05,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,9,9,0,19.316666666666666,285.68333333333334,0.0,285.68333333333334,305.0,0.0,0.0,0.0,0.0,0.0,428.60183444976076,fully_estimated,
2024-10-05,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,2,2,0,13.200000000000001,0.0,0.0,0.0,13.200000000000001,0.0,0.0,0.0,0.0,0.0,53.53599999999999,fully_estimated,
2024-10-05,T_WISTW-2,WISTW-2,,,,unmapped,8,8,0,11.2,219.3,0.0,219.3,230.5,0.0,0.0,0.0,0.0,0.0,158.99099999999999,fully_estimated,
2024-10-05,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,5,5,0,7.116666666666667,184.95,0.0,184.95,192.06666666666666,0.0,0.0,0.0,0.0,0.0,338.0853401515151,fully_estimated,
2024-10-05,T_TWSHW-1,TWSHW-1,,,,unmapped,8,8,0,3.866666666666667,136.13333333333333,0.0,136.13333333333333,140.0,0.0,0.0,0.0,0.0,0.0,100.529,fully_estimated,
2024-10-05,T_WDRGW-1,WDRGW-1,,,,unmapped,5,5,0,3.583333333333333,102.41666666666667,0.0,102.41666666666667,106.0,0.0,0.0,0.0,0.0,0.0,64.06,fully_estimated,
2024-10-05,T_KYPEW-1,KYPEW-1,,,,unmapped,1,1,0,2.466666666666667,16.03333333333333,0.0,16.03333333333333,18.5,0.0,0.0,0.0,0.0,0.0,14.356,fully_estimated,
2024-10-05,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,10,10,0,2.3833333333333333,151.825,0.0,151.825,154.20833333333331,0.0,0.0,0.0,0.0,0.0,151.05223333333333,fully_estimated,
2024-10-05,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,4,0,2.3666666666666667,79.03333333333333,0.0,79.03333333333333,81.4,0.0,0.0,0.0,0.0,0.0,160.69533333333334,fully_estimated,
2024-10-05,T_DOREW-1,DOREW-1,,,,unmapped,4,4,0,2.1,86.9,0.0,86.9,89.0,0.0,0.0,0.0,0.0,0.0,62.569,fully_estimated,
2024-10-05,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,1.9833333333333334,66.60833333333333,0.0,66.60833333333333,68.59166666666667,0.0,0.0,0.0,0.0,0.0,104.40928333333333,fully_estimated,
2024-10-05,T_KLGLW-1,KLGLW-1,,,,unmapped,5,5,0,1.8666666666666667,532.6333333333333,0.0,532.6333333333333,534.5,0.0,0.0,0.0,0.0,0.0,188.392,fully_estimated,
2024-10-05,E_BTUIW-3,BTUIW-3,,,,unmapped,4,4,0,1.5666666666666667,92.43333333333334,0.0,92.43333333333334,94.0,0.0,0.0,0.0,0.0,0.0,50.617000000000004,fully_estimated,
2024-10-05,T_DOREW-2,DOREW-2,,,,unmapped,5,5,0,1.2666666666666666,94.73333333333333,0.0,94.73333333333333,96.0,0.0,0.0,0.0,0.0,0.0,77.737,fully_estimated,
2024-10-05,T_GNAPW-1,GNAPW-1,,,,unmapped,9,9,0,1.1333333333333333,74.86666666666667,0.0,74.86666666666667,76.0,0.0,0.0,0.0,0.0,0.0,41.70700000000001,fully_estimated,
2024-10-05,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,9,9,0,1.1166666666666667,73.53333333333333,0.0,73.53333333333333,74.65,0.0,0.0,0.0,0.0,0.0,108.33891666666665,fully_estimated,
2024-10-05,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,6,6,0,0.5,21.766666666666666,0.0,21.766666666666666,22.266666666666666,0.0,0.0,0.0,0.0,0.0,27.096,fully_estimated,
2024-10-05,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,6,6,0,0.41666666666666663,6.658333333333333,0.0,6.658333333333333,7.075,0.0,0.0,0.0,0.0,0.0,12.208733333333333,fully_estimated,
2024-10-05,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,6,6,0,0.3833333333333333,21.541666666666664,0.0,21.541666666666664,21.925,0.0,0.0,0.0,0.0,0.0,23.350333333333335,fully_estimated,
2024-10-05,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,6,6,0,0.3666666666666667,15.733333333333334,0.0,15.733333333333334,16.1,0.0,0.0,0.0,0.0,0.0,17.821333333333335,fully_estimated,
2024-10-05,T_CGTHW-1,CGTHW-1,,,,unmapped,3,3,0,0.26666666666666666,28.233333333333334,0.0,28.233333333333334,28.5,0.0,0.0,0.0,0.0,0.0,15.45,fully_estimated,
2024-10-05,E_BABAW-1,BABAW-1,,,,unmapped,4,4,0,0.1,16.15,0.0,16.15,16.25,0.0,0.0,0.0,0.0,0.0,16.773,fully_estimated,
2024-10-05,T_BDCHW-1,BDCHW-1,,,,unmapped,3,3,0,0.08333333333333333,8.416666666666666,0.0,8.416666666666666,8.5,0.0,0.0,0.0,0.0,0.0,8.275,fully_estimated,
