settlement_date,bmu_family_key,bmu_family_label,cluster_key,cluster_label,parent_region,mapping_status,distinct_bmu_count,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_minus_lost_energy_gap_mwh,share_of_day_dispatch_gap,share_of_day_remaining_qa_shortfall,primary_dispatch_block_reason
2024-10-04,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,114,85,24.016666666666666,4495.316666666667,6501.0,10996.316666666666,11020.333333333332,4369.8769999999995,6650.456333333333,0.9516534547753794,3.294492963280763,availability_unknown
2024-10-04,SAKNW,SAKNW,,,,unmapped,1,12,12,10.633333333333333,193.86666666666665,0.0,193.86666666666665,204.5,115.678,88.822,0.01271006964385132,0.04400050753176747,
2024-10-04,DUNGW,DUNGW,,,,unmapped,1,5,5,12.6,156.8083333333333,0.0,156.8083333333333,169.40833333333333,93.02833333333334,76.38,0.010929669669646752,0.037837008458224304,
2024-10-04,WISTW,WISTW,,,,unmapped,1,6,5,3.666666666666667,111.66666666666667,0.0,111.66666666666667,115.33333333333333,72.09199999999998,43.241333333333344,0.006187660243629466,0.02142082606805748,physical_below_generation
2024-10-04,RCBKO,Race Bank,humber_offshore,Humber Offshore,England/Wales,mapped,1,1,1,1.1,40.65,0.0,40.65,41.75,2.2319999999999993,39.518,0.005654866273960466,0.01957636685326143,
2024-10-04,TWSHW,TWSHW,,,,unmapped,1,8,8,2.0833333333333335,88.91666666666666,0.0,88.91666666666666,91.0,54.784,36.216,0.005182363403455444,0.017940627105564957,
2024-10-04,WDRGW,WDRGW,,,,unmapped,1,11,10,2.4833333333333334,125.1,0.0,125.1,127.58333333333333,100.916,26.667333333333332,0.003815987749459193,0.013210423106724538,physical_below_generation
2024-10-04,DOREW,DOREW,,,,unmapped,2,6,6,2.6166666666666667,136.63333333333333,0.0,136.63333333333333,139.25,115.035,24.215000000000003,0.0034650687490245633,0.011995589942601487,
2024-10-04,BRYBW,BRYBW,,,,unmapped,1,4,3,2.1,37.15,0.0,37.15,39.25,38.007999999999996,1.2420000000000044,0.00017772518630140502,0.0006152600746938303,physical_below_generation
2024-10-04,HALSW,HALSW,,,,unmapped,1,3,3,0.6666666666666666,31.333333333333336,0.0,31.333333333333336,32.0,30.900000000000002,1.0999999999999979,0.00015740555952620326,0.0005449163302441301,
2024-10-04,GORDW,GORDW,,,,unmapped,1,2,1,0.5833333333333334,0.5333333333333333,0.0,0.5333333333333333,1.1166666666666667,0.6573333333333333,0.45933333333333337,6.572874576579046e-05,0.00022754384941709477,physical_below_generation
2024-10-04,VKNGW,Viking,shetland_wind,Shetland Wind,Scotland,mapped,4,28,28,8.966666666666667,89.86666666666667,0.0,89.86666666666667,98.83333333333334,247.12179999999995,-148.2884666666666,0.0,0.0,
2024-10-04,BABAW,BABAW,,,,unmapped,1,4,4,0.7,45.8,0.0,45.8,46.5,47.012,-0.5120000000000005,0.0,0.0,
