display_order,benchmark_window_key,benchmark_window_label,benchmark_window_start_date,benchmark_window_end_date,opportunity_input_path,window_date,model_key,overall_t_plus_1h_deliverable_mae_mwh,overall_t_plus_6h_deliverable_mae_mwh,gb_nl_t_plus_1h_deliverable_mae_mwh,proxy_internal_transfer_share_t_plus_1h,reviewed_internal_transfer_share_t_plus_1h,capacity_unknown_route_share_t_plus_1h,route_warn_count_t_plus_1h,cluster_warn_count_t_plus_1h,severe_unresolved_focus_area_count_t_plus_1h,model_ready_flag,model_readiness_state,blocking_reasons,source_lineage
3,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,2024-11-15,2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,2024-11-16 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
3,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,2024-11-15,2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,2024-11-17 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
4,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-22,2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-22 00:00:00+00:00,opportunity_potential_ratio_v2,0.0645445169723708,0.0,0.21514838990790267,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
4,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-22,2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-23 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
4,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-22,2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-24 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.0,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
5,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-07,2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-07 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.015909090909090907,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
5,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-07,2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-08 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.15,0.85,0.029166666666666667,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
5,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-07,2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-09 00:00:00+00:00,opportunity_potential_ratio_v2,0.3331026704002984,5.4620368213966275,0.08164811556642862,0.15,0.85,0.08541666666666667,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
6,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24,2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.45227272727272727,0.5477272727272727,0.05454545454545454,0,0,0,False,not_ready,proxy_internal_transfer_share_too_high,fact_backtest_prediction_hourly|fact_drift_window
6,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24,2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-25 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.23125,0.76875,0.025,0,0,0,True,ready_for_map,,fact_backtest_prediction_hourly|fact_drift_window
6,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24,2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-26 00:00:00+00:00,opportunity_potential_ratio_v2,0.0,0.0,0.0,0.5104166666666666,0.4895833333333333,0.01875,0,0,0,False,not_ready,proxy_internal_transfer_share_too_high,fact_backtest_prediction_hourly|fact_drift_window
