display_order,benchmark_window_key,benchmark_window_label,benchmark_window_start_date,benchmark_window_end_date,opportunity_input_path,model_key,window_day_count,ready_day_count,not_ready_day_count,ready_day_share,blocking_day_count,mean_overall_t_plus_1h_deliverable_mae_mwh,max_overall_t_plus_1h_deliverable_mae_mwh,mean_overall_t_plus_6h_deliverable_mae_mwh,max_overall_t_plus_6h_deliverable_mae_mwh,mean_gb_nl_t_plus_1h_deliverable_mae_mwh,max_gb_nl_t_plus_1h_deliverable_mae_mwh,mean_proxy_internal_transfer_share_t_plus_1h,max_proxy_internal_transfer_share_t_plus_1h,route_warn_day_count,cluster_warn_day_count,severe_focus_day_count,informative_window_flag,informative_signal_basis,specialist_scope_row_count,specialist_scope_actual_opportunity_deliverable_mwh_sum,baseline_specialist_t_plus_1h_deliverable_abs_error_mwh_sum,source_lineage
1,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,7,7,0,1.0,0,0.056836626170362003,0.35255152023637987,0.5554893779850869,2.3948890744023066,0.07322558349771514,0.3615628746301589,0.15,0.15,0,0,0,True,reviewed_actual_deliverable_mwh_sum,840,1654.6833439897023,72.90529090657378,fact_model_readiness_daily|fact_model_benchmark_window_scout
2,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14,2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,opportunity_potential_ratio_v2,3,3,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0,0,0,False,reviewed_perfect_zero_window,360,0.0,0.0,fact_model_readiness_daily|fact_model_benchmark_window_scout
3,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,2024-11-15,2024-11-17,curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,opportunity_potential_ratio_v2,3,3,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0,0,0,False,reviewed_perfect_zero_window,360,0.0,0.0,fact_model_readiness_daily|fact_model_benchmark_window_scout
4,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,2024-11-22,2024-11-24,curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,opportunity_potential_ratio_v2,3,3,0,1.0,0,0.021514838990790267,0.0645445169723708,0.0,0.0,0.07171612996930089,0.21514838990790267,0.15,0.15,0,0,0,True,reviewed_baseline_abs_error_mwh_sum,360,0.0,28.39958746784315,fact_model_readiness_daily|fact_model_benchmark_window_scout
5,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,2024-12-07,2024-12-09,curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,opportunity_potential_ratio_v2,3,3,0,1.0,0,0.11103422346676613,0.3331026704002984,1.8206789404655426,5.4620368213966275,0.027216038522142872,0.08164811556642862,0.15,0.15,0,0,0,True,reviewed_actual_deliverable_mwh_sum,360,353.3111158133364,11.75732864156572,fact_model_readiness_daily|fact_model_benchmark_window_scout
6,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24,2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,opportunity_potential_ratio_v2,3,1,2,0.3333333333333333,2,0.0,0.0,0.0,0.0,0.0,0.0,0.39797979797979793,0.5104166666666666,0,0,0,False,reviewed_perfect_zero_window,360,0.0,0.0,fact_model_readiness_daily|fact_model_benchmark_window_scout
