settlement_date,gb_daily_estimated_lost_energy_mwh,qa_target_definition,gb_daily_raw_constraint_total_mwh,raw_reconciliation_abs_error_mwh,raw_reconciliation_relative_error,raw_reconciliation_status,gb_daily_qa_target_mwh,qa_reconciliation_abs_error_mwh,qa_reconciliation_relative_error,qa_reconciliation_status,gb_daily_truth_curtailment_mwh,reconciliation_abs_error_mwh,reconciliation_relative_error,reconciliation_status,dispatch_half_hour_count,distinct_dispatch_bmu_count,accepted_dispatch_down_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_estimate_half_hour_count,physical_baseline_row_count,weather_calibrated_row_count,dispatch_physical_inference_row_count,dispatch_family_day_inference_row_count,dispatch_available_row_count,dispatch_unknown_availability_row_count,dispatch_outage_row_count,mapped_dispatch_row_count,unmapped_dispatch_row_count,primary_dispatch_block_reason,dispatch_coverage_ratio_vs_raw_total,dispatch_coverage_ratio_vs_qa_target,dispatch_coverage_ratio_vs_gb_truth,lost_energy_capture_ratio_vs_raw_total,lost_energy_capture_ratio_vs_qa_target,lost_energy_capture_ratio_vs_gb_truth,lost_energy_to_dispatch_ratio
2024-10-01,4142.318126800313,wind_constraints_positive_only_v1,16420,12277.681873199686,0.7477272760779347,fail,12116,7973.681873199687,0.6581117425882872,fail,16420,12277.681873199686,0.7477272760779347,fail,152,13,88.93333333333334,3128.675,3898.0666666666666,7026.741666666667,7115.675,152,3706,1268,122,67,152,0,0,144,8,,0.43335414129110844,0.5872957246616045,0.43335414129110844,0.25227272392206535,0.34188825741171286,0.25227272392206535,0.5821398710312532
2024-10-02,237.12189999999998,wind_constraints_positive_only_v1,14127,13889.8781,0.9832149854887804,fail,11116,10878.8781,0.9786684148974452,fail,14127,13889.8781,0.9832149854887804,fail,20,8,26.633333333333333,319.5333333333333,0.0,319.5333333333333,346.16666666666663,18,3751,1373,13,0,20,0,0,5,15,physical_below_generation,0.024503905051792074,0.031141297828955257,0.024503905051792074,0.016785014511219647,0.021331585102554874,0.016785014511219647,0.6849934520943669
2024-10-03,1883.458816666667,wind_constraints_positive_only_v1,-989,2872.458816666667,,fail,7556,5672.541183333333,0.7507333487736015,fail,-989,2872.458816666667,,fail,57,14,24.583333333333332,2145.025,460.5,2605.5250000000005,2630.108333333333,54,3884,1228,44,5,57,0,0,55,2,physical_below_generation,,0.34808209811187574,,,0.2492666512263985,,0.716114539008216
2024-10-04,5352.127416666666,wind_constraints_positive_only_v1,-33551,38903.12741666667,,fail,7306,1953.8725833333338,0.26743396979651435,warn,-33551,38903.12741666667,,fail,204,19,72.21666666666667,5553.641666666666,6501.0,12054.641666666666,12126.858333333334,171,3888,1146,187,66,177,27,0,143,61,availability_unknown,,1.6598492106944065,,,0.7325660302034857,,0.44134492789077684
2024-10-05,4224.103083333333,wind_constraints_positive_only_v1,-10288,14512.103083333333,,fail,12382,8157.896916666667,0.6588513096968718,fail,-10288,14512.103083333333,,fail,219,34,104.65,5064.133333333333,988.5,6052.633333333333,6157.283333333333,204,4068,1223,180,11,219,0,0,109,110,physical_below_generation,,0.4972769611802078,,,0.3411486903031282,,0.6860335727065779
2024-10-06,1742.2370166666665,wind_constraints_positive_only_v1,-5221,6963.237016666666,,fail,11968,10225.762983333334,0.8544253829656864,fail,-5221,6963.237016666666,,fail,66,14,33.28333333333333,1381.5166666666667,0.0,1381.5166666666667,1414.8,63,3863,1303,44,0,66,0,0,46,20,physical_below_generation,,0.11821524064171123,,,0.1455746170343137,,1.231436963999623
2024-10-07,946.5598333333334,wind_constraints_positive_only_v1,6350,5403.440166666666,0.8509354593175853,fail,10751,9804.440166666667,0.9119561126096798,fail,6350,5403.440166666666,0.8509354593175853,fail,107,15,14.45,662.9166666666666,2951.5,3614.4166666666665,3628.866666666667,100,4579,1275,86,30,107,0,0,69,38,physical_below_generation,0.571475065616798,0.33753759340216416,0.571475065616798,0.1490645406824147,0.08804388739032028,0.1490645406824147,0.2608417228519464
