settlement_date,qa_target_definition,gb_daily_qa_target_mwh,gb_daily_estimated_lost_energy_mwh,qa_target_shortfall_mwh,accepted_dispatch_down_mwh_lower_bound,same_bmu_dispatch_down_increment_mwh_lower_bound,family_day_dispatch_down_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,total_dispatch_down_mwh_lower_bound,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,blocked_other_dispatch_down_mwh_lower_bound,mapped_dispatch_down_mwh_lower_bound,region_only_dispatch_down_mwh_lower_bound,unmapped_dispatch_down_mwh_lower_bound,mapped_estimated_lost_energy_mwh,region_only_estimated_lost_energy_mwh,unmapped_estimated_lost_energy_mwh,mapped_dispatch_bmu_count,region_only_dispatch_bmu_count,unmapped_dispatch_bmu_count,estimated_dispatch_share_of_total_dispatch,blocked_dispatch_share_of_total_dispatch,unmapped_dispatch_share_of_total_dispatch,estimated_capture_ratio_vs_qa_target,blocked_dispatch_ratio_vs_qa_target,qa_shortfall_after_blocked_dispatch_mwh,dispatch_alignment_inference
2024-10-01,wind_constraints_positive_only_v1,12116,4142.318126800313,7973.681873199687,88.93333333333334,3128.675,3898.0666666666666,7026.741666666667,7115.675,152,0,7115.675,0.0,0.0,0.0,0.0,0.0,0.0,7078.675,37.0,0.0,3862.8752268003127,279.4428999999999,0.0,10,3,0,1.0,0.0,0.0,0.34188825741171286,0.0,7973.681873199687,dispatch_source_shortfall_inferred
2024-10-02,wind_constraints_positive_only_v1,11116,237.12189999999998,10878.8781,26.633333333333333,319.5333333333333,0.0,319.5333333333333,346.16666666666663,18,2,343.83333333333337,2.333333333333333,0.0,0.0,2.333333333333333,0.0,0.0,48.3,2.033333333333333,295.83333333333337,114.55089999999998,73.95199999999998,48.61899999999999,4,1,3,0.9932595089070777,0.006740491092922484,0.8545979778526723,0.021331585102554874,0.0002099076406381192,10876.544766666666,dispatch_source_shortfall_inferred
2024-10-03,wind_constraints_positive_only_v1,7556,1883.458816666667,5672.541183333333,24.583333333333332,2145.025,460.5,2605.5250000000005,2630.108333333333,54,3,2628.608333333334,1.5,0.0,0.0,1.5,0.0,0.0,2624.441666666667,0.0,5.666666666666667,1877.9528166666666,0.0,5.506,13,0,1,0.9994296812868928,0.0005703187131075083,0.0021545373606283646,0.2492666512263985,0.00019851773425092641,5671.041183333333,dispatch_source_shortfall_inferred
2024-10-04,wind_constraints_positive_only_v1,7306,5352.127416666666,1953.8725833333338,72.21666666666667,5553.641666666666,6501.0,12054.641666666666,12126.858333333334,171,33,9503.525000000001,2623.3333333333335,0.0,2610.5,4.0,8.833333333333332,1.5276668818842154e-13,11160.916666666664,0.0,965.9416666666667,4684.016750000001,0.0,668.1106666666667,8,0,11,0.7836757665320024,0.2163242334679977,0.07965308409776371,0.7325660302034857,0.3590656081759285,-669.4607499999997,dispatch_blocking_material
2024-10-05,wind_constraints_positive_only_v1,12382,4224.103083333333,8157.896916666667,104.65,5064.133333333333,988.5,6052.633333333333,6157.283333333333,204,15,6150.716666666667,6.566666666666666,0.0,0.0,4.833333333333333,1.7333333333333334,0.0,4243.733333333334,13.200000000000001,1900.3500000000001,3053.0297499999997,50.018,1121.0553333333332,13,1,20,0.9989335123444595,0.0010664876555407283,0.3086344897776888,0.3411486903031282,0.0005303397404834975,8151.33025,dispatch_source_shortfall_inferred
2024-10-06,wind_constraints_positive_only_v1,11968,1742.2370166666665,10225.762983333334,33.28333333333333,1381.5166666666667,0.0,1381.5166666666667,1414.8,63,3,1414.283333333333,0.5166666666666666,0.0,0.0,0.5166666666666666,0.0,0.0,1235.3916666666664,7.933333333333334,171.47500000000002,1529.8186833333332,105.38899999999997,107.02933333333334,9,1,4,0.9996348129299781,0.0003651870700216756,0.12120087644896807,0.1455746170343137,4.317067736185383e-05,10225.246316666668,dispatch_source_shortfall_inferred
2024-10-07,wind_constraints_positive_only_v1,10751,946.5598333333334,9804.440166666667,14.45,662.9166666666666,2951.5,3614.4166666666665,3628.866666666667,100,7,3627.2833333333333,1.5833333333333335,0.0,0.0,1.5833333333333335,0.0,0.0,3524.825,0.0,104.04166666666667,871.9501666666666,0.0,74.60966666666667,8,0,7,0.9995636837947568,0.00043631620524314297,0.028670567486634945,0.08804388739032028,0.0001472731218801352,9802.856833333333,dispatch_source_shortfall_inferred
