source_key,source_family,source_provider,source_label,source_document_url,policy_scope,review_state,reviewed_evidence_tier,reviewed_tier_accepted_flag,capacity_policy_action,policy_note,source_lineage
etys_2023_b6_capability,scotland_north_to_south_review,public_reviewed_doc,ETYS 2023 B6 north-to-south capability,https://www.neso.energy/document/286591/download,gb_internal_transfer,accepted_reviewed_tier,reviewed_internal_transfer_period,True,allow_reviewed_internal_period,Accepted reviewed internal-transfer evidence may override the proxy gate.,fact_gb_transfer_reviewed_period
etys_2023_ec5_capability,custom_reviewed_input,public_reviewed_doc,etys_2023_ec5_capability,https://www.neso.energy/document/286591/download,gb_internal_transfer,accepted_reviewed_tier,reviewed_internal_transfer_period,True,allow_reviewed_internal_period,Accepted reviewed internal-transfer evidence may override the proxy gate.,fact_gb_transfer_reviewed_period
