settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-03,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,1.2166666666666668,1.2166666666666668,0.0,0.0,0.0,0.0,0.0,53.10119999999999,fully_estimated,
2024-10-03,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,27.172,fully_estimated,
2024-10-03,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,21.0106,fully_estimated,
2024-10-03,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,15.373449999999998,fully_estimated,
2024-10-03,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,20.667,fully_estimated,
2024-10-03,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,17.10605,fully_estimated,
2024-10-03,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.2166666666666666,0.2166666666666666,0.0,0.0,0.0,0.0,0.0,19.577200000000005,fully_estimated,
2024-10-03,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,12.164799999999996,fully_estimated,
2024-10-03,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,1,1,0,0.1833333333333333,0.1833333333333333,0.0,0.0,0.0,0.0,0.0,17.653400000000005,fully_estimated,
2024-10-04,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,6,0,6,11.799999999999999,0.0,11.799999999999999,11.799999999999999,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-04,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,6,0,6,7.183333333333332,0.0,7.183333333333332,7.183333333333332,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-04,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,4,0,4,5.033333333333333,0.0,5.033333333333333,5.033333333333333,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-04,T_WISTW-2,WISTW-2,,,,unmapped,2,1,1,3.666666666666666,2.333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,13.601,partially_blocked,physical_below_generation
2024-10-04,E_BRYBW-1,BRYBW-1,,,,unmapped,2,1,1,2.1,0.8500000000000001,1.25,0.0,0.0,1.25,0.0,11.994,partially_blocked,physical_below_generation
2024-10-04,T_WDRGW-1,WDRGW-1,,,,unmapped,4,3,1,2.4833333333333334,1.6500000000000001,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,25.502000000000002,partially_blocked,physical_below_generation
2024-10-04,T_GORDW-1,GORDW-1,,,,unmapped,1,0,1,0.5833333333333334,0.0,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,fully_blocked,physical_below_generation
2024-10-04,T_DUNGW-1,DUNGW-1,,,,unmapped,2,2,0,12.6,12.6,0.0,0.0,0.0,0.0,0.0,44.347,fully_estimated,
2024-10-04,T_SAKNW-1,SAKNW-1,,,,unmapped,4,4,0,10.633333333333333,10.633333333333333,0.0,0.0,0.0,0.0,0.0,46.039,fully_estimated,
2024-10-04,T_VKNGW-2,VKNGW-2,shetland_wind,Shetland Wind,Scotland,mapped,4,4,0,2.866666666666667,2.866666666666667,0.0,0.0,0.0,0.0,0.0,80.5036,fully_estimated,
2024-10-04,T_VKNGW-4,VKNGW-4,shetland_wind,Shetland Wind,Scotland,mapped,3,3,0,2.683333333333333,2.683333333333333,0.0,0.0,0.0,0.0,0.0,42.92665000000001,fully_estimated,
2024-10-04,T_VKNGW-1,VKNGW-1,shetland_wind,Shetland Wind,Scotland,mapped,3,3,0,2.1166666666666663,2.1166666666666663,0.0,0.0,0.0,0.0,0.0,80.967,fully_estimated,
2024-10-04,T_TWSHW-1,TWSHW-1,,,,unmapped,2,2,0,2.0833333333333335,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,12.152000000000001,fully_estimated,
2024-10-04,T_DOREW-1,DOREW-1,,,,unmapped,1,1,0,1.4166666666666667,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,8.841,fully_estimated,
2024-10-04,T_VKNGW-3,VKNGW-3,shetland_wind,Shetland Wind,Scotland,mapped,2,2,0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,31.71524999999999,fully_estimated,
2024-10-04,T_DOREW-2,DOREW-2,,,,unmapped,1,1,0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,7.337999999999999,fully_estimated,
2024-10-04,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,1,1,0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,2.2319999999999998,fully_estimated,
2024-10-04,E_BABAW-1,BABAW-1,,,,unmapped,1,1,0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,11.881,fully_estimated,
2024-10-04,T_HALSW-1,HALSW-1,,,,unmapped,1,1,0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,8.666,fully_estimated,
2024-10-05,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,9,0,9,8.033333333333333,0.0,8.033333333333333,8.033333333333333,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-05,T_MOWEO-2,MOWEO-2,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,7,0,7,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-05,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,6,0,6,2.083333333333333,0.0,2.083333333333333,2.083333333333333,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-05,T_WHIHW-1,WHIHW-1,,,,unmapped,2,0,2,1.7333333333333334,0.0,1.7333333333333334,0.0,0.0,0.0,1.7333333333333334,0.0,fully_blocked,physical_inconsistent
2024-10-05,T_DRSLW-1,DRSLW-1,,,,unmapped,2,1,1,2.666666666666667,1.3666666666666667,1.3,0.0,0.0,1.3,0.0,3.539999999999999,partially_blocked,physical_below_generation
2024-10-05,T_SANQW-1,SANQW-1,,,,unmapped,2,1,1,2.7,1.5,1.2000000000000002,0.0,0.0,1.2000000000000002,0.0,1.5199999999999996,partially_blocked,physical_below_generation
2024-10-05,E_HRHLW-1,HRHLW-1,,,,unmapped,2,1,1,1.4,0.7333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,6.985,partially_blocked,physical_below_generation
2024-10-05,T_SAKNW-1,SAKNW-1,,,,unmapped,2,0,2,0.6333333333333333,0.0,0.6333333333333333,0.0,0.0,0.6333333333333333,0.0,0.0,fully_blocked,physical_below_generation
2024-10-05,T_GORDW-2,GORDW-2,,,,unmapped,2,0,2,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0,0.33333333333333326,0.0,0.0,fully_blocked,physical_below_generation
2024-10-05,T_HALSW-1,HALSW-1,,,,unmapped,2,1,1,0.3833333333333332,0.1666666666666666,0.2166666666666666,0.0,0.0,0.2166666666666666,0.0,1.543,partially_blocked,physical_below_generation
2024-10-05,E_BRYBW-1,BRYBW-1,,,,unmapped,1,0,1,0.0333333333333333,0.0,0.0333333333333333,0.0,0.0,0.0333333333333333,0.0,0.0,fully_blocked,physical_below_generation
2024-10-05,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,7,7,0,19.31666666666667,19.31666666666667,0.0,0.0,0.0,0.0,0.0,374.91148333333325,fully_estimated,
2024-10-05,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,2,2,0,13.200000000000001,13.200000000000001,0.0,0.0,0.0,0.0,0.0,50.018,fully_estimated,
2024-10-05,T_WISTW-2,WISTW-2,,,,unmapped,2,2,0,11.2,11.2,0.0,0.0,0.0,0.0,0.0,33.733000000000004,fully_estimated,
2024-10-05,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,3,3,0,7.116666666666666,7.116666666666666,0.0,0.0,0.0,0.0,0.0,236.53204999999997,fully_estimated,
2024-10-05,T_TWSHW-1,TWSHW-1,,,,unmapped,3,3,0,3.8666666666666667,3.8666666666666667,0.0,0.0,0.0,0.0,0.0,28.953,fully_estimated,
2024-10-05,T_WDRGW-1,WDRGW-1,,,,unmapped,1,1,0,3.583333333333333,3.583333333333333,0.0,0.0,0.0,0.0,0.0,16.636,fully_estimated,
2024-10-05,T_KYPEW-1,KYPEW-1,,,,unmapped,1,1,0,2.466666666666667,2.466666666666667,0.0,0.0,0.0,0.0,0.0,14.356,fully_estimated,
2024-10-05,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,4,0,2.3833333333333333,2.3833333333333333,0.0,0.0,0.0,0.0,0.0,109.1052,fully_estimated,
2024-10-05,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,2,2,0,2.3666666666666667,2.3666666666666667,0.0,0.0,0.0,0.0,0.0,120.0787,fully_estimated,
2024-10-05,T_DOREW-1,DOREW-1,,,,unmapped,1,1,0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,4.531000000000001,fully_estimated,
2024-10-05,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,1,1,0,1.9833333333333332,1.9833333333333332,0.0,0.0,0.0,0.0,0.0,41.63809999999993,fully_estimated,
2024-10-05,T_KLGLW-1,KLGLW-1,,,,unmapped,1,1,0,1.8666666666666667,1.8666666666666667,0.0,0.0,0.0,0.0,0.0,48.741,fully_estimated,
2024-10-05,E_BTUIW-3,BTUIW-3,,,,unmapped,1,1,0,1.5666666666666669,1.5666666666666669,0.0,0.0,0.0,0.0,0.0,18.17,fully_estimated,
2024-10-05,T_DOREW-2,DOREW-2,,,,unmapped,1,1,0,1.2666666666666666,1.2666666666666666,0.0,0.0,0.0,0.0,0.0,14.293,fully_estimated,
2024-10-05,T_GNAPW-1,GNAPW-1,,,,unmapped,2,2,0,1.1333333333333333,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,6.851,fully_estimated,
