settlement_date,qa_target_definition,gb_daily_qa_target_mwh,gb_daily_estimated_lost_energy_mwh,qa_target_shortfall_mwh,total_dispatch_down_mwh_lower_bound,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,blocked_other_dispatch_down_mwh_lower_bound,mapped_dispatch_down_mwh_lower_bound,region_only_dispatch_down_mwh_lower_bound,unmapped_dispatch_down_mwh_lower_bound,mapped_estimated_lost_energy_mwh,region_only_estimated_lost_energy_mwh,unmapped_estimated_lost_energy_mwh,mapped_dispatch_bmu_count,region_only_dispatch_bmu_count,unmapped_dispatch_bmu_count,estimated_dispatch_share_of_total_dispatch,blocked_dispatch_share_of_total_dispatch,unmapped_dispatch_share_of_total_dispatch,estimated_capture_ratio_vs_qa_target,blocked_dispatch_ratio_vs_qa_target,qa_shortfall_after_blocked_dispatch_mwh,dispatch_alignment_inference
2024-10-01,wind_constraints_positive_only_v1,12116,1152.6227499999995,10963.377250000001,88.93333333333334,44,0,88.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,80.68333333333334,8.25,0.0,896.8448499999997,255.77789999999993,0.0,10,3,0,1.0,0.0,0.0,0.09513228375701548,0.0,10963.377250000001,dispatch_source_shortfall_inferred
2024-10-02,wind_constraints_positive_only_v1,11116,193.6539,10922.3461,26.633333333333333,7,2,24.3,2.333333333333333,0.0,0.0,2.333333333333333,0.0,0.0,17.8,2.033333333333333,6.799999999999999,107.5929,73.95199999999998,12.108999999999998,4,1,3,0.9123904881101377,0.08760951188986232,0.2553191489361702,0.017421185678301546,0.0002099076406381192,10920.012766666667,dispatch_source_shortfall_inferred
2024-10-03,wind_constraints_positive_only_v1,7556,253.1154,7302.8846,24.583333333333332,10,14,5.466666666666667,19.116666666666667,18.95,0.0,0.1666666666666666,0.0,1.2490009027033011e-15,24.416666666666668,0.0,0.1666666666666666,253.1154,0.0,0.0,13,0,1,0.22237288135593222,0.7776271186440679,0.006779661016949151,0.03349859714134463,0.0025299982353979176,7283.7679333333335,dispatch_source_shortfall_inferred
2024-10-04,wind_constraints_positive_only_v1,7306,428.7055,6877.2945,72.21666666666667,30,20,44.199999999999996,28.016666666666666,24.016666666666666,0.0,4.0,0.0,0.0,34.083333333333336,0.0,38.133333333333326,238.34449999999998,0.0,190.361,8,0,11,0.6120470805446572,0.3879529194553427,0.528040618509116,0.05867855187517109,0.0038347476959576603,6849.277833333334,dispatch_source_shortfall_inferred
2024-10-05,wind_constraints_positive_only_v1,12382,1278.1583333333333,11103.841666666667,104.64999999999999,51,33,82.41666666666666,22.233333333333334,16.116666666666667,0.0,4.383333333333334,1.7333333333333334,0.0,52.066666666666656,13.200000000000001,39.383333333333326,1019.8473333333332,50.018,208.293,13,1,20,0.7875457875457875,0.21245421245421248,0.3763338111164198,0.10322713078124159,0.0017956172939212836,11081.608333333334,dispatch_source_shortfall_inferred
2024-10-06,wind_constraints_positive_only_v1,11968,890.1692999999997,11077.8307,33.28333333333333,25,4,31.099999999999994,2.1833333333333336,1.7666666666666668,0.0,0.41666666666666663,0.0,1.1102230246251565e-16,22.616666666666667,7.933333333333334,2.7333333333333334,770.6402999999998,105.38899999999997,14.14,9,1,4,0.9344016024036053,0.0655983975963946,0.08212318477716575,0.0743791193181818,0.00018243092691622105,11075.647366666668,dispatch_source_shortfall_inferred
2024-10-07,wind_constraints_positive_only_v1,10751,237.6483,10513.3517,14.449999999999996,20,10,4.033333333333333,10.416666666666666,8.833333333333334,0.0,1.5833333333333335,0.0,-1.3322676295501878e-15,12.583333333333332,0.0,1.8666666666666665,220.07029999999997,0.0,17.578,7,0,7,0.27912341407151103,0.7208765859284892,0.12918108419838525,0.022104762347688586,0.0009689021176324682,10502.935033333333,dispatch_source_shortfall_inferred
