settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_down_increment_mwh_lower_bound,family_day_dispatch_down_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-01,T_SGRWO-6,SGRWO-6,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,10,10,0,30.900000000000002,172.5,516.5,689.0,719.9,0.0,0.0,0.0,0.0,0.0,326.7952500000001,fully_estimated,
2024-10-01,T_SGRWO-1,SGRWO-1,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,9,9,0,16.916666666666668,417.5,282.0,699.5,716.4166666666666,0.0,0.0,0.0,0.0,0.0,283.81385,fully_estimated,
2024-10-01,T_SGRWO-3,SGRWO-3,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,25,25,0,10.233333333333333,375.5,908.0416666666666,1283.5416666666665,1293.7749999999999,0.0,0.0,0.0,0.0,0.0,1145.5196683697598,fully_estimated,
2024-10-01,T_SGRWO-4,SGRWO-4,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,31,31,0,6.783333333333333,652.2083333333333,790.0083333333333,1442.2166666666667,1449.0,0.0,0.0,0.0,0.0,0.0,1121.6987333333336,fully_estimated,
2024-10-01,T_SGRWO-2,SGRWO-2,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,24,24,0,4.15,325.90000000000003,402.31666666666666,728.2166666666667,732.3666666666667,0.0,0.0,0.0,0.0,0.0,389.22946666666667,fully_estimated,
2024-10-01,T_CLDNW-1,CLDNW-1,,,Scotland,region_only,2,2,0,3.5166666666666666,0.0,0.0,0.0,3.5166666666666666,0.0,0.0,0.0,0.0,0.0,55.724000000000004,fully_estimated,
2024-10-01,T_PNYCW-1,PNYCW-1,,,England/Wales,region_only,4,4,0,3.316666666666667,28.75,0.0,28.75,32.06666666666666,0.0,0.0,0.0,0.0,0.0,71.57350000000001,fully_estimated,
2024-10-01,T_SGRWO-5,SGRWO-5,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,27,27,0,3.1333333333333337,509.8666666666667,407.45,917.3166666666666,920.45,0.0,0.0,0.0,0.0,0.0,450.42600000000004,fully_estimated,
2024-10-01,T_GNFSW-1,GNFSW-1,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,5,5,0,2.8166666666666664,171.11666666666667,0.0,171.11666666666667,173.93333333333334,0.0,0.0,0.0,0.0,0.0,37.952000000000005,fully_estimated,
2024-10-01,T_RCBKO-1,RCBKO-1,humber_offshore,Humber Offshore,England/Wales,mapped,5,5,0,2.8166666666666664,264.68333333333334,301.0,565.6833333333334,568.5,0.0,0.0,0.0,0.0,0.0,128.715,fully_estimated,
2024-10-01,T_GNFSW-2,GNFSW-2,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,4,4,0,1.6,81.98333333333333,0.0,81.98333333333333,83.58333333333333,0.0,0.0,0.0,0.0,0.0,22.485,fully_estimated,
2024-10-01,T_CLDCW-1,CLDCW-1,,,Scotland,region_only,2,2,0,1.4166666666666665,0.0,0.0,0.0,1.4166666666666665,0.0,0.0,0.0,0.0,0.0,74.265,fully_estimated,
2024-10-01,T_RCBKO-2,RCBKO-2,humber_offshore,Humber Offshore,England/Wales,mapped,4,4,0,1.3333333333333333,128.66666666666666,290.75,419.41666666666663,420.75,0.0,0.0,0.0,0.0,0.0,158.098,fully_estimated,
