settlement_date,lost_energy_block_reason,dispatch_half_hour_count,distinct_bmu_count,accepted_down_delta_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,share_of_dispatch_rows,share_of_dispatch_down_mwh_lower_bound
2024-10-01,estimated,85,13,88.93333333333335,3217.608333333333,2148.971460133646,1.0,1.0
2024-10-02,estimated,18,8,24.3,343.83333333333337,237.12189999999995,0.9,0.9932595089070776
2024-10-02,physical_below_generation,2,2,2.333333333333333,2.333333333333333,0.0,0.1,0.0067404910929224834
2024-10-03,estimated,49,14,23.083333333333332,2168.1083333333336,1626.7098166666667,0.9423076923076923,0.9993086309741005
2024-10-03,physical_below_generation,3,3,1.5,1.5,0.0,0.057692307692307696,0.0006913690258994518
2024-10-04,estimated,122,19,59.383333333333326,4644.025000000001,2566.579416666667,0.8840579710144928,0.8254784825426639
2024-10-04,availability_unknown,10,3,0.0,969.0,0.0,0.07246376811594203,0.17224038405991382
2024-10-04,physical_inconsistent,2,2,8.833333333333332,8.833333333333332,0.0,0.014492753623188406,0.0015701307800439338
2024-10-04,physical_below_generation,4,4,4.0,4.0,0.0,0.028985507246376812,0.0007110026173783851
2024-10-05,estimated,193,34,98.08333333333334,5162.216666666667,3632.7470833333336,0.9278846153846154,0.9987295527316229
2024-10-05,physical_below_generation,13,10,4.833333333333333,4.833333333333333,0.0,0.0625,0.000935100781292825
2024-10-05,physical_inconsistent,2,1,1.7333333333333334,1.7333333333333334,0.0,0.009615384615384616,0.0003353464870843235
2024-10-06,estimated,63,14,32.766666666666666,1414.283333333333,1742.2370166666662,0.9545454545454546,0.9996348129299784
2024-10-06,physical_below_generation,3,2,0.5166666666666666,0.5166666666666666,0.0,0.045454545454545456,0.00036518707002167563
2024-10-07,estimated,70,13,12.866666666666667,675.7833333333333,505.4768333333333,0.9090909090909091,0.9976625166084345
2024-10-07,physical_below_generation,7,6,1.5833333333333335,1.5833333333333335,0.0,0.09090909090909091,0.002337483391565376
