connector_key,connector_label,source_provider,source_key,source_label,source_truth_tier,connector_match_rule,target_is_proxy,publish_time_utc,event_start_utc,event_end_utc,event_status,message_type,event_type,unavailability_type,affected_unit,asset_id,registration_code,normal_capacity_mw,available_capacity_mw,unavailable_capacity_mw
ifa2,IFA2,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,operator_outage_truth,remit_text_match,False,2024-11-17 23:13:07+00:00,2024-09-05 11:54:00+00:00,2024-11-08 19:00:00+00:00,Inactive,UnavailabilitiesOfElectricityFacilities,Transmission unavailability,Unplanned,I_IED-IFA2,I_IED-IFA2,48X0000000002400,1014.0,500.0,514.0
ifa2,IFA2,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,operator_outage_truth,remit_text_match,False,2024-11-17 23:13:07+00:00,2024-09-05 11:54:00+00:00,2024-11-08 19:00:00+00:00,Inactive,UnavailabilitiesOfElectricityFacilities,Transmission unavailability,Unplanned,I_IEG-IFA2,I_IEG-IFA2,48X0000000002400,1014.0,500.0,514.0
ifa2,IFA2,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,operator_outage_truth,remit_text_match,False,2024-11-17 23:13:07+00:00,2024-11-08 19:00:00+00:00,2024-11-17 23:00:00+00:00,Inactive,UnavailabilitiesOfElectricityFacilities,Transmission unavailability,Unplanned,I_IED-IFA2,I_IED-IFA2,48X0000000002400,1014.0,500.0,514.0
ifa2,IFA2,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,operator_outage_truth,remit_text_match,False,2024-11-17 23:13:07+00:00,2024-11-08 19:00:00+00:00,2024-11-17 23:00:00+00:00,Inactive,UnavailabilitiesOfElectricityFacilities,Transmission unavailability,Unplanned,I_IEG-IFA2,I_IEG-IFA2,48X0000000002400,1014.0,500.0,514.0
