settlement_date,bmu_family_key,bmu_family_label,cluster_key,cluster_label,parent_region,mapping_status,distinct_bmu_count,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_minus_lost_energy_gap_mwh,share_of_day_dispatch_gap,share_of_day_remaining_qa_shortfall,primary_dispatch_block_reason
2024-10-04,GORDW,GORDW,,,,unmapped,1,2,0,0.5833333333333334,0.5333333333333333,0.0,0.5333333333333333,1.1166666666666667,0.0,1.1166666666666667,9.391573235698353e-05,0.0001528424126288895,availability_unknown
2024-10-05,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,121,0,34.28333333333333,841.6333333333333,3020.875,3862.5083333333337,3896.791666666667,0.0,3896.791666666667,0.44337439187312083,0.31471423571851614,availability_unknown
2024-10-05,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,45,0,16.116666666666667,2295.833333333333,988.5,3284.333333333333,3300.45,0.0,3300.45,0.375523029412908,0.26655225327087706,availability_unknown
2024-10-05,KLGLW,Kildrummy,,,,unmapped,1,5,0,1.8666666666666667,532.6333333333333,0.0,532.6333333333333,534.5,0.0,534.5,0.06081505831665359,0.043167501211435956,availability_unknown
2024-10-05,DOREW,DOREW,,,,unmapped,2,9,0,3.3666666666666667,181.63333333333333,0.0,181.63333333333333,185.0,0.0,185.0,0.021049178276110223,0.0149410434501696,availability_unknown
2024-10-05,DRSLW,DRSLW,,,,unmapped,1,8,0,2.666666666666667,170.13333333333333,0.0,170.13333333333333,172.8,0.0,172.8,0.01966107030330728,0.013955742206428689,availability_unknown
2024-10-05,TWSHW,TWSHW,,,,unmapped,1,8,0,3.866666666666667,136.13333333333333,0.0,136.13333333333333,140.0,0.0,140.0,0.015929107884623952,0.01130673558391213,availability_unknown
2024-10-05,BTUIW,Beinn Tharsuinn,,,,unmapped,1,4,0,1.5666666666666667,92.43333333333334,0.0,92.43333333333334,94.0,0.0,94.0,0.010695258151104654,0.007591665320626716,availability_unknown
2024-10-05,HRHLW,HRHLW,,,,unmapped,1,8,0,1.4,77.76666666666667,0.0,77.76666666666667,79.16666666666666,0.0,79.16666666666666,0.009007531244281402,0.006393689764712216,availability_unknown
2024-10-05,GNAPW,GNAPW,,,,unmapped,1,9,0,1.1333333333333333,74.86666666666667,0.0,74.86666666666667,76.0,0.0,76.0,0.008647229994510145,0.006137942174123728,availability_unknown
2024-10-05,VKNGW,Viking,shetland_wind,Shetland Wind,Scotland,mapped,4,24,0,1.6666666666666665,65.69999999999999,0.0,65.69999999999999,67.36666666666666,0.0,67.36666666666666,0.007664935008291668,0.005440693479782479,availability_unknown
2024-10-05,SAKNW,SAKNW,,,,unmapped,1,5,0,0.6333333333333333,44.25,0.0,44.25,44.88333333333333,0.0,44.88333333333333,0.005106796134915751,0.0036248855866042105,availability_unknown
2024-10-05,WHIHW,WHIHW,,,,unmapped,1,5,0,1.7333333333333334,38.0,0.0,38.0,39.733333333333334,0.0,39.733333333333334,0.0045208325234456555,0.0032089592419103,availability_unknown
2024-10-05,HALSW,HALSW,,,,unmapped,1,8,0,0.3833333333333333,39.33333333333333,0.0,39.33333333333333,39.71666666666667,0.0,39.71666666666667,0.004518936201078438,0.0032076132019598345,availability_unknown
2024-10-05,CGTHW,CGTHW,,,,unmapped,1,3,0,0.26666666666666666,28.233333333333334,0.0,28.233333333333334,28.5,0.0,28.5,0.0032427112479413048,0.002301728315296398,availability_unknown
2024-10-05,KYPEW,Kype Muir,,,,unmapped,1,1,0,2.466666666666667,16.03333333333333,0.0,16.03333333333333,18.5,0.0,18.5,0.0021049178276110222,0.00149410434501696,availability_unknown
2024-10-05,BABAW,BABAW,,,,unmapped,1,4,0,0.1,16.15,0.0,16.15,16.25,0.0,16.25,0.0018489143080367089,0.0013123889517040867,availability_unknown
2024-10-05,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,2,0,13.200000000000001,0.0,0.0,0.0,13.200000000000001,0.0,13.200000000000001,0.0015018873148359728,0.001066063640768858,availability_unknown
