display_order,benchmark_window_key,benchmark_window_label,benchmark_window_start_date,benchmark_window_end_date,opportunity_input_path,model_key,blocker_type,blocker_scope,blocker_day_count,blocker_row_count,top_blocker_slice_key,top_slice_dimension,top_slice_value,top_route_name,top_cluster_key,mean_blocker_priority_score,max_blocker_priority_score,eligible_row_count_sum,actual_volume_mwh_sum,mean_deliverable_abs_error_mwh_mean,max_deliverable_abs_error_mwh_max,recommended_next_step,source_lineage
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,gb_nl_t_plus_1h_mae_above_target,route_slice,1,18,route=R2_netback_GB_NL_DE_PL|cluster=moray_firth_offshore|hub=britned|internal=gb_topology_transfer_gate_proxy|tier=reviewed|focus=proxy_internal_transfer,route_name,R2_netback_GB_NL_DE_PL,R2_netback_GB_NL_DE_PL,moray_firth_offshore,114.03006266042082,541.8389799812838,144,1032.3870799463878,6.010078601152257,62.61640201732408,inspect GB-NL route slices and worst hours before another model change,fact_model_blocker_priority
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,route_drift_warn,route_drift_slice,3,85,route=R2_netback_GB_NL_DE_PL|cluster=moray_firth_offshore|hub=britned|internal=gb_topology_transfer_gate_proxy|tier=reviewed|focus=proxy_internal_transfer,route_name,R2_netback_GB_NL_DE_PL,R2_netback_GB_NL_DE_PL,moray_firth_offshore,42.497389260948445,491.0415756080385,946,1149.5467557131071,2.6510716539701185,62.61640201732408,inspect warned route slices and regime-transition hours,fact_model_blocker_priority
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,cluster_drift_warn,cluster_drift_slice,4,111,route=R2_netback_GB_NL_DE_PL|cluster=moray_firth_offshore|hub=britned|internal=gb_topology_transfer_gate_proxy|tier=reviewed|focus=proxy_internal_transfer,cluster_key,moray_firth_offshore,R2_netback_GB_NL_DE_PL,moray_firth_offshore,35.134383917857804,457.25859597586583,1184,1627.9150775066128,2.098555576381656,62.61640201732408,inspect warned cluster slices and internal-transfer assumptions,fact_model_blocker_priority
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,proxy_internal_transfer_share_too_high,internal_transfer_slice,5,110,route=R2_netback_GB_NL_DE_PL|cluster=moray_firth_offshore|hub=britned|internal=gb_topology_transfer_gate_proxy|tier=reviewed|focus=proxy_internal_transfer,internal_transfer_evidence_tier,gb_topology_transfer_gate_proxy,R2_netback_GB_NL_DE_PL,moray_firth_offshore,22.833379557688687,406.3494004687795,1489,321.8725991222666,1.8518633971595808,62.61640201732408,replace proxy internal-transfer reliance with reviewed evidence on this slice,fact_model_blocker_priority
1,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,2024-10-01,2024-10-07,curtailment_opportunity_live_britned_reviewed_2024-10-01_2024-10-07,opportunity_potential_ratio_v2,overall_t_plus_1h_mae_above_target,global_slice,1,51,route=R2_netback_GB_NL_DE_PL|cluster=moray_firth_offshore|hub=britned|internal=gb_topology_transfer_gate_proxy|tier=reviewed|focus=proxy_internal_transfer,route_name,R2_netback_GB_NL_DE_PL,R2_netback_GB_NL_DE_PL,moray_firth_offshore,45.91015089648622,338.6493624883024,480,1149.5467557131071,4.418452756616864,62.61640201732408,reduce high-volume slice error before the next readiness rerun,fact_model_blocker_priority
2,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,2024-10-14,2024-10-16,curtailment_opportunity_live_britned_reviewed_2024-10-14_2024-10-16,opportunity_potential_ratio_v2,cluster_drift_warn,cluster_drift_slice,1,3,route=R1_netback_GB_FR_DE_PL|cluster=shetland_wind|hub=eleclink|internal=gb_topology_transfer_gate_proxy|tier=no_price_signal|focus=proxy_internal_transfer,cluster_key,shetland_wind,R1_netback_GB_FR_DE_PL,shetland_wind,4.21875,4.21875,69,0.0,0.0,0.0,inspect warned cluster slices and internal-transfer assumptions,fact_model_blocker_priority
6,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,2025-01-24,2025-01-26,curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,opportunity_potential_ratio_v2,proxy_internal_transfer_share_too_high,internal_transfer_slice,2,36,route=R1_netback_GB_FR_DE_PL|cluster=dogger_hornsea_offshore|hub=eleclink|internal=gb_topology_transfer_gate_proxy|tier=capacity_unknown|focus=proxy_internal_transfer,internal_transfer_evidence_tier,gb_topology_transfer_gate_proxy,R1_netback_GB_FR_DE_PL,dogger_hornsea_offshore,0.2,0.19999999999999998,444,0.0,0.0,0.0,replace proxy internal-transfer reliance with reviewed evidence on this slice,fact_model_blocker_priority
