settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,generation_mwh,pn_level_from_mw,pn_level_to_mw,pn_mean_mw,pn_mwh,qpn_level_from_mw,qpn_level_to_mw,qpn_mean_mw,qpn_mwh,mils_level_from_mw,mils_level_to_mw,mils_mean_mw,mils_mwh,mels_level_from_mw,mels_level_to_mw,mels_mean_mw,mels_mwh,physical_baseline_source_dataset,physical_baseline_mwh,physical_consistency_flag,counterfactual_method,counterfactual_valid_flag
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_GYMR-15,GYMRO-15,GyM OSPE 15,Gwynt y Mor Offshore Wind Farm,WIND,T,,,148.0,mapped,high,Direct BMU and name matches for Gwynt y Mor.,north_wales_offshore,North Wales Offshore,England/Wales,51.49,115.0,115.0,115.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,140.0,70.0,PN,57.5,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_GYMR-17,GYMRO-17,GyM OSPE 17,Gwynt y Mor Offshore Wind Farm,WIND,T,,,148.0,mapped,high,Direct BMU and name matches for Gwynt y Mor.,north_wales_offshore,North Wales Offshore,England/Wales,41.0,89.0,89.0,89.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,129.0,64.5,PN,44.5,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_GYMR-26,GYMRO-26,GyM OSPW 26,Gwynt y Mor Offshore Wind Farm,WIND,T,,,148.0,mapped,high,Direct BMU and name matches for Gwynt y Mor.,north_wales_offshore,North Wales Offshore,England/Wales,23.38,73.0,73.0,73.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,43.0,PN,36.5,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_GYMR-28,GYMRO-28,GyM OSPW 28,Gwynt y Mor Offshore Wind Farm,WIND,T,,,148.0,mapped,high,Direct BMU and name matches for Gwynt y Mor.,north_wales_offshore,North Wales Offshore,England/Wales,19.43,59.0,59.0,59.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,37.5,PN,29.5,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HADHW-1,HADHW-1,Hadyard Hill Wind Farm,SSE Renewables Wind Farms,WIND,T,,,130.0,unmapped,none,,,,,9.229,15.0,16.0,15.5,0.2583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,50.0,PN,0.2583333333333333,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HAHAW-1,HAHAW-1,Hagshaw Repower 1,HAGSHAW HILL REPOWERING LTD,WIND,T,,,30.258,unmapped,none,,,,,,,,,,,,,,,,,,,,,,,,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HALSW-1,HALSW-1,Halsary Windfarm,SP Renewables (UK) Limited,WIND,T,,,30.0,unmapped,none,,,,,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,15.0,QPN,0.0,True,pn_qpn_physical_max,True
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HMGTO-1,HMGTO-1,Humber Offshore Wind Farm BMU1,RWE Renewables UK Humber Wind,WIND,T,,,108.0,unmapped,none,,,,,53.179,106.0,106.0,106.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,107.0,53.5,PN,53.0,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HMGTO-2,HMGTO-2,Humber Offshore Wind Farm BMU2,RWE Renewables UK Humber Wind,WIND,T,,,111.0,unmapped,none,,,,,51.578,103.0,103.0,103.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,104.0,52.0,PN,51.5,True,pn_qpn_physical_max,False
2024-10-02,20,2024-10-02 09:30:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:30:00+00:00,2024-10-02 09:00:00+00:00,balancing_physical,Elexon balancing physical positions,False,T_HOWAO-1,HOWAO-1,HORNSEA_1A,Hornsea 1 Limited,WIND,T,,,400.0,mapped,high,Direct BMU and name matches for Dogger Bank and Hornsea families.,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,188.556,375.0,375.0,375.0,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,196.0,PN,187.5,True,pn_qpn_physical_max,False
