settlement_date,settlement_period,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,source_key,source_label,source_dataset,target_is_proxy,elexon_bm_unit,national_grid_bm_unit,bm_unit_name,lead_party_name,fuel_type,bm_unit_type,gsp_group_id,gsp_group_name,generation_capacity_mw,mapping_status,mapping_confidence,mapping_rule,cluster_key,cluster_label,parent_region,bid_offer_pair_count,negative_bid_pair_count,valid_negative_bid_pair_count,negative_bid_available_flag,sentinel_bid_pair_count,sentinel_offer_pair_count,sentinel_pair_count,sentinel_bid_available_flag,sentinel_offer_available_flag,sentinel_pair_available_flag,minimum_bid_gbp_per_mwh,maximum_bid_gbp_per_mwh,most_negative_bid_gbp_per_mwh,least_negative_bid_gbp_per_mwh,minimum_offer_gbp_per_mwh,maximum_offer_gbp_per_mwh
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_ASHWW-1,ASHWW-1,Andershaw Wind Farm,Statkraft Markets Gmbh,WIND,E,_N,South Scotland,35.0,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-75.0,-75.0,-75.0,-75.0,75.0,75.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BABAW-1,BABAW-1,Baillie Wind Farm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,52.5,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-71.5,-71.5,-71.5,-71.5,71.5,71.5
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BETHW-1,BETHW-1,BETHW-1,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,29.75,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-100.29,0.0,-100.29,-100.29,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BNWKW-1,BNWKW-1,Burn of Whilk Windfarm,Eneco Energy Trade,WIND,E,_P,North Scotland,22.5,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-94.0,-94.0,-94.0,-94.0,94.0,94.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BRYBW-1,BRYBW-1,Berry Burn Wind Farm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,62.708,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-75.0,-75.0,-75.0,-75.0,75.0,75.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BTUIW-2,BTUIW-2,Beinn An Tuirc 2,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,43.7,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-100.29,0.0,-100.29,-100.29,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BTUIW-3,BTUIW-3,Beinn an Tuirc III Windfarm,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,52.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-19.68,0.0,-19.68,-19.68,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_BURBO,BURBW-1,Burbo Offshore Wind,Orsted Burbo (UK) Limited,WIND,E,_D,Merseyside North Wales,90.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-138.26,100.0,-138.26,-138.26,-81.78,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_CLFLW-1,CLFLW-1,Clachan Flats,SP Renewables (UK) Limited,WIND,E,_P,North Scotland,15.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-100.29,0.0,-100.29,-100.29,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_CNCLW-1,CNCLW-1,Coire Na Cloiche WF,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,30.52,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-140.0,-140.0,-140.0,-140.0,140.0,140.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_CRGTW-1,CRGTW-1,Craig 2 Wind Farm,British Gas Trading Ltd,WIND,E,_N,South Scotland,4.7,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-115.0,-115.0,-115.0,-115.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_GRGRW-1,GRGRW-1,Greengairs East WF-1,Greengairs East Wind Farm Ltd,WIND,E,_N,South Scotland,36.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-70.0,0.0,-70.0,-70.0,0.0,999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_HBHDW-1,HBHDW-1,HARBURNHEADWF,LDV Harburnhead Ltd,WIND,E,_N,South Scotland,51.7,unmapped,none,,,,,2,1,0,False,0,2,2,False,True,True,-850.0,0.0,-850.0,-850.0,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_HLTWW-1,HLTWW-1,Hill of Towie,ScottishPower Energy Retail,WIND,E,_P,North Scotland,48.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-103.13,0.0,-103.13,-103.13,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_HRHLW-1,HRHLW-1,Hare Hill Extension Windfarm,SP Renewables (UK) Limited,WIND,E,_N,South Scotland,30.0,unmapped,none,,,,,2,1,1,True,0,1,1,False,True,True,-92.78,0.0,-92.78,-92.78,0.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_HYWDW-1,HYWDW-1,Hywind Generator BMU1,HYWINDSC,WIND,E,_P,North Scotland,30.0,unmapped,none,,,,,2,0,0,False,0,0,0,False,False,False,0.0,0.0,,,0.0,0.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_KINCW-1,KINCW-1,Kincardine Offshore Windfarm,Statkraft Markets Gmbh,WIND,E,_P,North Scotland,49.6,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-340.42,-340.42,-340.42,-340.42,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_PIBUW-1,PIBUW-1,Pines Burn Wind Farm,Npower Commercial Gas Limited,WIND,E,_N,South Scotland,36.0,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-119.0,-119.0,-119.0,-119.0,999.0,999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,E_TULWW-1,TULWW-1,Tullo Windfarm,Eneco Energy Trade,WIND,E,_P,North Scotland,17.0,unmapped,none,,,,,2,2,2,True,0,0,0,False,False,False,-94.0,-94.0,-94.0,-94.0,94.0,94.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_ABRBO-1,ABRBO-1,ABRBO-1,Aberdeen Offshore Wind Farm,WIND,T,,,99.0,mapped,high,Direct BMU and name matches for Seagreen and Aberdeen offshore projects.,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,2,1,1,True,0,1,1,False,True,True,-210.0,0.0,-210.0,-210.0,15.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_ACHRW-1,ACHRW-1,AChruach Wind Farm,Mobius Renewables Gen. (GB2,WIND,T,,,42.6,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-103.8,-103.8,-103.8,-103.8,9999.0,9999.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_AFTOW-1,AFTOW-1,Afton Wind Farm,Afton Wind Farm Limited,WIND,T,,,50.0,unmapped,none,,,,,2,1,1,True,0,0,0,False,False,False,-99.0,0.0,-99.0,-99.0,0.0,9998.0
2024-10-02,1,2024-10-02 00:00:00+01:00,2024-10-02 00:30:00+01:00,2024-10-01 23:00:00+00:00,2024-10-01 23:30:00+00:00,BOD,Elexon bid-offer data,BOD,False,T_AKGLW-2,AKGLW-2,AIKENGALL II,Aikengall 2 CWCL,WIND,T,,,63.84,unmapped,none,,,,,2,2,0,False,0,2,2,False,True,True,-87.0,-87.0,-87.0,-87.0,99999.0,99999.0
