settlement_date,lost_energy_block_reason,dispatch_half_hour_count,distinct_bmu_count,accepted_down_delta_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,share_of_dispatch_rows,share_of_dispatch_down_mwh_lower_bound
2024-10-01,estimated,85,13,88.93333333333335,3217.608333333333,2148.971460133646,1.0,1.0
2024-10-02,estimated,18,8,24.3,343.83333333333337,237.12189999999995,0.9,0.9932595089070776
2024-10-02,physical_below_generation,2,2,2.333333333333333,2.333333333333333,0.0,0.1,0.0067404910929224834
2024-10-03,outage,27,3,18.95,2146.3333333333335,0.0,0.5192307692307693,0.9892722572814603
2024-10-03,estimated,24,11,5.466666666666667,23.108333333333334,283.5998166666667,0.46153846153846156,0.010650923937884336
2024-10-03,physical_below_generation,1,1,0.16666666666666666,0.16666666666666666,0.0,0.019230769230769232,7.681878065549466e-05
2024-10-04,outage,48,3,24.016666666666666,4519.333333333334,0.0,0.34782608695652173,0.8033144572013456
2024-10-04,estimated,86,16,44.2,1102.525,982.2504166666666,0.6231884057971014,0.19597454018127605
2024-10-04,physical_below_generation,4,4,4.0,4.0,0.0,0.028985507246376812,0.0007110026173783851
2024-10-05,estimated,163,31,82.41666666666666,2850.7166666666667,2981.3190833333338,0.7836538461538461,0.5515256652919611
2024-10-05,outage,34,3,16.116666666666667,2311.95,0.0,0.16346153846153846,0.4472909485468856
2024-10-05,physical_below_generation,9,7,4.383333333333334,4.383333333333334,0.0,0.04326923076923077,0.0008480396740690105
2024-10-05,physical_inconsistent,2,1,1.7333333333333334,1.7333333333333334,0.0,0.009615384615384616,0.00033534648708432354
2024-10-06,estimated,60,13,31.1,1107.783333333333,1582.4840166666665,0.9090909090909091,0.7829964188106682
2024-10-06,outage,4,1,1.7666666666666668,306.6,0.0,0.06060606060606061,0.2167090754877015
2024-10-06,physical_below_generation,2,1,0.41666666666666663,0.41666666666666663,0.0,0.030303030303030304,0.0002945057016303836
2024-10-07,outage,8,2,8.833333333333334,546.1333333333333,0.0,0.1038961038961039,0.8062595344717287
2024-10-07,estimated,62,11,4.033333333333333,129.65,326.2558333333333,0.8051948051948052,0.19140298213670587
2024-10-07,physical_below_generation,7,6,1.5833333333333335,1.5833333333333335,0.0,0.09090909090909091,0.002337483391565376
