settlement_date,gb_daily_estimated_lost_energy_mwh,qa_target_definition,gb_daily_raw_constraint_total_mwh,raw_reconciliation_abs_error_mwh,raw_reconciliation_relative_error,raw_reconciliation_status,gb_daily_qa_target_mwh,qa_reconciliation_abs_error_mwh,qa_reconciliation_relative_error,qa_reconciliation_status,gb_daily_truth_curtailment_mwh,reconciliation_abs_error_mwh,reconciliation_relative_error,reconciliation_status,dispatch_half_hour_count,distinct_dispatch_bmu_count,accepted_dispatch_down_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_estimate_half_hour_count,physical_baseline_row_count,weather_calibrated_row_count,dispatch_physical_inference_row_count,dispatch_available_row_count,dispatch_unknown_availability_row_count,dispatch_outage_row_count,mapped_dispatch_row_count,unmapped_dispatch_row_count,primary_dispatch_block_reason,dispatch_coverage_ratio_vs_raw_total,dispatch_coverage_ratio_vs_qa_target,dispatch_coverage_ratio_vs_gb_truth,lost_energy_capture_ratio_vs_raw_total,lost_energy_capture_ratio_vs_qa_target,lost_energy_capture_ratio_vs_gb_truth,lost_energy_to_dispatch_ratio
2024-10-01,2148.9714601336464,wind_constraints_positive_only_v1,16420,14271.028539866355,0.8691247588225551,fail,12116,9967.028539866355,0.8226335869813762,fail,16420,14271.028539866355,0.8691247588225551,fail,85,13,88.93333333333335,3128.675,3217.608333333333,85,3706,1268,55,85,0,0,77,8,,0.195956658546488,0.26556688125894135,0.195956658546488,0.13087524117744498,0.17736641301862383,0.13087524117744498,0.6678785102186084
2024-10-02,237.12189999999998,wind_constraints_positive_only_v1,14127,13889.8781,0.9832149854887804,fail,11116,10878.8781,0.9786684148974452,fail,14127,13889.8781,0.9832149854887804,fail,20,8,26.633333333333333,319.5333333333333,346.16666666666663,18,3751,1373,13,20,0,0,5,15,physical_below_generation,0.024503905051792074,0.031141297828955257,0.024503905051792074,0.016785014511219647,0.021331585102554874,0.016785014511219647,0.6849934520943669
2024-10-03,283.5998166666667,wind_constraints_positive_only_v1,-989,1272.5998166666668,,fail,7556,7272.400183333333,0.9624669379742368,fail,-989,1272.5998166666668,,fail,52,14,24.583333333333332,2145.025,2169.6083333333336,24,3884,1228,39,25,0,27,50,2,outage,,0.2871371536968414,,,0.037533062025763196,,0.13071475266273097
2024-10-04,982.2504166666665,wind_constraints_positive_only_v1,-33551,34533.25041666667,,fail,7306,6323.749583333333,0.8655556506068072,fail,-33551,34533.25041666667,,fail,138,19,72.21666666666667,5553.641666666666,5625.858333333334,86,3888,1146,121,90,0,48,77,61,outage,,0.7700326215895611,,,0.1344443493931928,,0.17459565429275234
2024-10-05,2981.3190833333333,wind_constraints_positive_only_v1,-10288,13269.319083333334,,fail,12382,9400.680916666666,0.7592215245248478,fail,-10288,13269.319083333334,,fail,208,34,104.65,5064.133333333333,5168.783333333333,163,4068,1223,169,174,0,34,98,110,outage,,0.41744333171808534,,,0.2407784754751521,,0.5767932008499744
2024-10-06,1582.4840166666663,wind_constraints_positive_only_v1,-5221,6803.484016666666,,fail,11968,10385.515983333335,0.8677737285539217,fail,-5221,6803.484016666666,,fail,66,14,33.28333333333333,1381.5166666666667,1414.8,60,3863,1303,44,62,0,4,46,20,outage,,0.11821524064171123,,,0.1322262714460784,,1.118521357553482
2024-10-07,326.2558333333333,wind_constraints_positive_only_v1,6350,6023.744166666666,0.9486211286089239,fail,10751,10424.744166666667,0.9696534430905652,fail,6350,6023.744166666666,0.9486211286089239,fail,77,14,14.45,662.9166666666667,677.3666666666667,62,4579,1275,56,69,0,8,39,38,outage,0.10667191601049869,0.06300499178371004,0.10667191601049869,0.051378871391076116,0.03034655690943478,0.051378871391076116,0.481653215885045
