settlement_date,bmu_family_key,bmu_family_label,cluster_key,cluster_label,parent_region,mapping_status,distinct_bmu_count,dispatch_half_hour_count,lost_energy_estimate_half_hour_count,accepted_down_delta_mwh_lower_bound,same_bmu_dispatch_increment_mwh_lower_bound,family_day_dispatch_increment_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_minus_lost_energy_gap_mwh,share_of_day_dispatch_gap,share_of_day_remaining_qa_shortfall,primary_dispatch_block_reason
2024-10-01,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,6,126,126,72.11666666666667,2453.4750000000004,3306.3166666666666,5759.791666666667,5831.908333333333,3515.8450268003126,2316.0633065330203,0.7202137788039463,0.2904634701213165,
2024-10-01,RCBKO,Race Bank,humber_offshore,Humber Offshore,England/Wales,mapped,2,9,9,4.1499999999999995,393.35,591.75,985.1,989.25,286.813,702.437,0.21843306472438817,0.0880944350640522,
2024-10-01,GNFSW,Gunfleet Sands,east_anglia_offshore,East Anglia Offshore,England/Wales,mapped,2,9,9,4.416666666666666,253.1,0.0,253.1,257.51666666666665,60.217200000000005,197.29946666666666,0.06135315647166545,0.024743834755912342,
2024-10-01,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,4,4,3.316666666666667,28.75,0.0,28.75,32.06666666666666,153.32399999999996,-121.25733333333329,0.0,0.0,
2024-10-01,CLDNW,Clyde North,,,Scotland,region_only,1,2,2,3.5166666666666666,0.0,0.0,0.0,3.5166666666666666,61.99809999999998,-58.481433333333314,0.0,0.0,
2024-10-01,CLDCW,Clyde Central,,,Scotland,region_only,1,2,2,1.4166666666666665,0.0,0.0,0.0,1.4166666666666665,64.12079999999999,-62.704133333333324,0.0,0.0,
2024-10-02,SHRSW,Sheirds,,,,unmapped,1,4,3,5.8999999999999995,202.06666666666666,0.0,202.06666666666666,207.96666666666667,10.176000000000002,197.79066666666665,0.80007766539966,0.01818116398111554,physical_below_generation
2024-10-02,BTUIW,Beinn Tharsuinn,,,,unmapped,1,5,4,0.36666666666666664,43.5,0.0,43.5,43.86666666666667,12.302999999999999,31.56366666666667,0.12767733262499614,0.0029013714811885493,physical_below_generation
2024-10-02,KYPEW,Kype Muir,,,,unmapped,1,5,5,0.5333333333333333,43.46666666666667,0.0,43.46666666666667,44.0,26.14,17.86,0.07224500197534393,0.0016417134042525947,
2024-10-02,SGRWO,Seagreen,east_coast_scotland_offshore,East Coast Scotland Offshore,Scotland,mapped,4,5,5,17.8,30.5,0.0,30.5,48.3,114.55089999999998,-66.25089999999999,0.0,0.0,
2024-10-02,PNYCW,Pen y Cymoedd,,,England/Wales,region_only,1,1,1,2.033333333333333,0.0,0.0,0.0,2.033333333333333,73.95199999999998,-71.91866666666665,0.0,0.0,
2024-10-03,MOWEO,Moray East,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,3,32,30,18.95,2127.383333333333,460.5,2587.883333333333,2606.8333333333335,1599.859,1006.9743333333336,0.9998404715686907,0.17751732438575427,physical_below_generation
2024-10-03,GORDW,GORDW,,,,unmapped,1,2,1,0.16666666666666666,5.5,0.0,5.5,5.666666666666667,5.506,0.16066666666666674,0.00015952843130927503,2.8323578705559052e-05,physical_below_generation
