settlement_date,qa_target_definition,gb_daily_qa_target_mwh,gb_daily_estimated_lost_energy_mwh,qa_target_shortfall_mwh,accepted_dispatch_down_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,total_dispatch_down_mwh_lower_bound,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,blocked_other_dispatch_down_mwh_lower_bound,mapped_dispatch_down_mwh_lower_bound,region_only_dispatch_down_mwh_lower_bound,unmapped_dispatch_down_mwh_lower_bound,mapped_estimated_lost_energy_mwh,region_only_estimated_lost_energy_mwh,unmapped_estimated_lost_energy_mwh,mapped_dispatch_bmu_count,region_only_dispatch_bmu_count,unmapped_dispatch_bmu_count,estimated_dispatch_share_of_total_dispatch,blocked_dispatch_share_of_total_dispatch,unmapped_dispatch_share_of_total_dispatch,estimated_capture_ratio_vs_qa_target,blocked_dispatch_ratio_vs_qa_target,qa_shortfall_after_blocked_dispatch_mwh,dispatch_alignment_inference
2024-10-01,wind_constraints_positive_only_v1,12116,17497.059506974638,-5381.059506974638,88.93333333333334,227611.875,227700.80833333332,2919,4411,85639.80833333333,142061.0,19568.25,0.0,119897.0,2595.75,0.0,109254.94166666667,1275.4333333333334,117170.43333333332,7557.702506974638,29.884999999999998,9909.472,38,3,115,0.3761067383123402,0.6238932616876598,0.514580664824898,1.4441283845307558,11.725074281941234,-147442.05950697465,qa_target_met_or_exceeded
2024-10-02,wind_constraints_positive_only_v1,11116,11396.225774576484,-280.2257745764837,26.633333333333333,190745.375,190772.00833333336,2819,4130,62419.066666666666,128352.94166666667,6156.25,0.0,120623.69166666667,1573.0,0.0,98925.0,1484.1083333333333,90362.90000000001,3448.296441243152,6.600999999999999,7941.328333333333,37,3,114,0.3271919565767881,0.6728080434232118,0.4736695953953063,1.0252092276517168,11.546684208948063,-128633.16744124315,qa_target_met_or_exceeded
2024-10-03,wind_constraints_positive_only_v1,7556,11274.314829448063,-3718.3148294480634,24.583333333333332,82798.20833333333,82822.79166666666,2889,4012,37863.191666666666,44959.6,8335.25,0.0,36067.85,556.5,0.0,33958.225,868.4083333333333,47996.15833333333,5484.782829448062,15.337,5774.195,38,3,115,0.45715908513508013,0.54284091486492,0.5795042326815234,1.492100956782433,5.950185283218634,-48677.91482944806,qa_target_met_or_exceeded
2024-10-04,wind_constraints_positive_only_v1,7306,15583.649806974638,-8277.649806974638,72.21666666666667,132534.49166666667,132606.7083333333,3090,4121,49817.71666666667,82788.99166666667,27816.5,0.0,53844.24166666667,1128.25,0.0,42351.29166666667,1570.3666666666668,88685.05,4357.31514030797,0.07299999999999329,11226.261666666665,40,3,116,0.3756802147704318,0.6243197852295683,0.6687825307983101,2.132993403637372,11.331644082489278,-91066.6414736413,qa_target_met_or_exceeded
2024-10-05,wind_constraints_positive_only_v1,12382,27632.865666666665,-15250.865666666665,104.65,179960.59166666667,180065.24166666667,3456,4064,79017.91666666666,101047.325,21715.5,0.0,78096.325,1235.5,0.0,70087.075,2094.5666666666666,107883.6,11087.887999999999,33.727000000000004,16511.250666666667,40,3,115,0.43882937059525967,0.5611706294047403,0.5991361742079688,2.2316964679911697,8.16082418026167,-116298.19066666666,qa_target_met_or_exceeded
2024-10-06,wind_constraints_positive_only_v1,11968,26110.48385642857,-14142.483856428571,33.28333333333333,230566.21666666667,230599.5,3300,4220,99435.875,131163.625,25846.5,0.0,103735.125,1582.0,0.0,120467.61666666667,1321.4083333333333,108810.475,14333.824523095238,22.476999999999997,11754.182333333334,40,3,115,0.4312059436382126,0.5687940563617875,0.47185911070926,2.1816914986989113,10.959527489973262,-145306.10885642856,qa_target_met_or_exceeded
2024-10-07,wind_constraints_positive_only_v1,10751,13952.997511914982,-3201.997511914982,14.45,133579.86666666667,133594.31666666665,3392,3413,54337.98333333333,79256.33333333333,22854.38333333333,0.0,55400.95,1001.0,0.0,81182.76666666666,993.2083333333333,51418.34166666667,4962.374443074405,38.18240217391305,8952.440666666665,40,3,115,0.4067387347690315,0.5932612652309686,0.3848841997894372,1.2978325283150387,7.371996403435339,-82458.3308452483,qa_target_met_or_exceeded
