settlement_date,elexon_bm_unit,national_grid_bm_unit,cluster_key,cluster_label,parent_region,mapping_status,dispatch_half_hour_count,estimated_dispatch_half_hour_count,blocked_dispatch_half_hour_count,accepted_down_delta_mwh_lower_bound,physical_dispatch_down_increment_mwh_lower_bound,estimated_dispatch_down_mwh_lower_bound,blocked_dispatch_down_mwh_lower_bound,blocked_outage_dispatch_down_mwh_lower_bound,blocked_availability_unknown_dispatch_down_mwh_lower_bound,blocked_physical_below_generation_dispatch_down_mwh_lower_bound,blocked_physical_inconsistent_dispatch_down_mwh_lower_bound,lost_energy_mwh,dispatch_alignment_state,primary_dispatch_block_reason
2024-10-02,T_GORDW-2,GORDW-2,,,,unmapped,9,0,9,0.0,0.5666666666666667,0.0,0.5666666666666667,0.0,0.0,0.5666666666666667,0.0,0.0,fully_blocked,physical_below_generation
2024-10-02,E_BNWKW-1,BNWKW-1,,,,unmapped,16,15,1,0.0,5.25,5.0,0.25,0.0,0.0,0.25,0.0,3.2379999999999995,partially_blocked,physical_below_generation
2024-10-02,E_PIBUW-1,PIBUW-1,,,,unmapped,48,48,0,0.0,535.0,535.0,0.0,0.0,0.0,0.0,0.0,535.2529999999999,fully_estimated,
2024-10-02,T_AKGLW-3,AKGLW-3,,,,unmapped,48,48,0,0.0,745.0,745.0,0.0,0.0,0.0,0.0,0.0,268.38800000000003,fully_estimated,
2024-10-03,T_WLNYO-3,WLNYO-3,,,,unmapped,48,0,48,0.0,2164.75,0.0,2164.75,2164.75,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-03,T_MOWEO-3,MOWEO-3,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,4.833333333333334,1546.1666666666665,0.0,1551.0,1551.0,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-03,T_RMPNO-1,RMPNO-1,,,,unmapped,48,15,33,0.0,1871.5,456.5,1415.0,0.0,0.0,1415.0,0.0,75.82,partially_blocked,physical_below_generation
2024-10-03,T_RMPNO-2,RMPNO-2,,,,unmapped,48,16,32,0.0,2074.5,682.0,1392.5,0.0,0.0,1378.0,14.5,84.846,partially_blocked,physical_below_generation
2024-10-03,T_MOWEO-1,MOWEO-1,moray_firth_offshore,Moray Firth Offshore,Scotland,mapped,48,0,48,11.466666666666669,1277.0333333333333,0.0,1288.5,1288.5,0.0,0.0,0.0,0.0,fully_blocked,outage
2024-10-03,T_HOWBO-3,HOWBO-3,dogger_hornsea_offshore,Dogger and Hornsea Offshore,England/Wales,mapped,48,18,30,0.0,1827.25,581.25,1246.0,0.0,0.0,1246.0,0.0,160.22899999999998,partially_blocked,physical_below_generation
